,SVL,PCI_limbs,PCII_head,PCIII_padwidth_vs_tail,PCIV_lamella_num,awesomeness,hostility,attitude,ecomorph,island
chamaeleonides,5.04234927,2.955974282,-3.692318891,1.329730376,-1.51973745,-1.19399376,1.858148718,-1.433087428,U,Cuba
chlorocyanus,4.275448057,0.439063427,1.354034499,1.953146989,1.805124933,-1.065610146,0.920097708,-0.937217348,TC,Hispaniola
christophei,3.884651809,-2.705963321,1.705275586,-0.172592116,0.646933364,-0.266699615,0.220410336,1.465474826,U,Hispaniola
clivicola,3.758726128,-1.051144207,-0.589033928,-1.217804221,-0.558659984,0.340444764,-0.599034616,1.789691465,GB,Cuba
coelestinus,4.297965447,-0.027216832,0.368753686,1.636431575,1.025717625,0.290926638,-0.620965953,1.280333497,TC,Hispaniola
confusus,3.938442349,-2.495917316,0.16823269,0.155128975,-1.39796407,0.496114209,-0.544543392,1.360106311,TG,Cuba
cooki,4.091535064,-2.22079009,0.059798495,-0.10926468,-0.508269318,1.277956446,-1.082760383,1.377218698,TG,Puerto Rico
cristatellus,4.189820018,-3.330263311,-0.622251891,1.217530949,-1.218197026,0.830658098,-0.007447027,0.390612322,TG,Puerto Rico
cupeyalensis,3.462013706,2.724196984,0.48960424,-2.479527073,-0.032970349,1.327984163,-0.994951781,0.04668455,GB,Cuba
cuvieri,4.875011919,-1.189551236,-0.719833643,-1.016734022,-0.021530732,-0.11591712,0.281153377,-0.978766627,CG,Puerto Rico
cyanopleurus,3.630161001,0.433285104,0.989301,-2.818999712,0.871769305,0.413447859,0.073949884,-0.506549254,GB,Cuba
cybotes,4.210982161,-3.116379223,-2.99620854,-0.829905679,-2.090494641,0.905454434,-0.262630999,0.684678636,TG,Hispaniola
darlingtoni,4.302036009,4.067031705,-1.49378979,-0.200225929,0.311380865,1.718720076,-1.690079016,1.021456747,TW,Hispaniola
distichus,3.928795837,-3.843433427,0.838907486,2.492216951,-1.039725065,1.973200862,-1.608003643,0.914614999,T,Hispaniola
dolichocephalus,3.908550316,2.60131528,-2.595307699,-4.143932667,3.670234019,0.739483022,-0.989799476,1.091913655,GB,Hispaniola
equestris,5.113993807,1.054615168,0.707203874,0.710804587,1.660431935,1.08056618,-1.266611407,0.667302603,CG,Cuba
etheridgei,3.657990601,-3.810659552,-0.753409,-2.065920077,-0.748908659,0.848149691,-0.960258609,0.18291181,U,Hispaniola
eugenegrahami,4.128504414,-4.212091396,4.833519555,1.0228151,1.665392784,2.155800992,-2.494661307,1.11438687,U,Hispaniola
evermanni,4.165605231,-2.528992449,0.12548098,1.882463297,1.923920863,1.871367582,-2.029729624,1.028775113,TC,Puerto Rico
fowleri,4.288779949,-1.036670025,1.503837622,-1.758925109,-1.719141106,1.456935239,-1.448418148,0.07531334,U,Hispaniola
garmani,4.769473237,-0.773526403,0.937124945,0.259499356,0.105114948,0.167791307,0.676756002,-0.694600797,CG,Puerto Rico
grahami,4.154274265,-2.305653544,-1.913936885,1.685257905,1.014419261,0.410642801,-0.117462571,0.702295893,TC,Puerto Rico
guafe,3.87745744,-2.614087098,0.65608676,0.6071245,-1.482208339,-0.13914555,-0.310434629,-0.504806103,TG,Cuba
guamuhaya,5.036952602,3.109473958,-4.079734234,-0.182028702,-0.107489301,-0.137962568,0.119982369,0.042039866,U,Cuba
guazuma,3.76388385,8.165665057,-0.606058649,1.759740809,1.551025088,-0.0151975,-0.020516523,0.086780213,TW,Cuba
gundlachi,4.18810472,-2.64936274,-0.562516042,-2.285226483,-2.484205186,-0.426336538,0.613014449,-0.693182616,TG,Puerto Rico
haetianus,4.316542212,-3.404029253,-3.784446643,-1.779834352,-2.203790125,0.721747833,-0.969190196,0.74101761,TG,Hispaniola
hendersoni,3.859834574,1.289630445,-2.06309845,-3.465653547,2.58336718,0.385454354,-0.713316425,-0.395979203,GB,Hispaniola
homolechis,4.032805981,-2.744993462,0.879260091,0.867969375,-1.566658216,-0.085375433,0.092602997,-0.081309035,TG,Cuba
imias,4.099687407,-3.048917245,2.332034882,0.16164422,-2.112605855,0.169425977,-0.410812337,0.196358003,TG,Cuba
inexpectatus,3.537438641,2.506072437,-0.523403665,-2.805744857,1.680361143,0.24466655,-0.307162858,0.069372862,GB,Cuba
insolitus,3.80047052,5.030626705,0.241376694,0.913970702,-0.420752446,0.066715596,-0.290651288,0.072862399,TW,Hispaniola
isolepis,3.657087744,3.056976417,-4.340183729,2.440924804,-0.074187788,-0.194644197,0.001671326,0.162646592,TC,Cuba
jubar,3.952604971,-2.22414593,0.944899848,0.660071599,-1.657495487,2.1455822,-0.993730897,1.05775273,TG,Cuba
krugi,3.886500048,-1.688795326,-0.83128181,-1.258889189,0.240299126,0.972494741,-0.371866585,1.461094697,GB,Puerto Rico
lineatopus,4.128611788,-2.430812911,-3.125523903,-1.756449534,-1.439523032,0.800931449,0.170290172,0.335557135,TG,Jamaica
longitibialis,4.242103429,-3.522430476,-1.616704389,-1.618284477,-2.67106616,2.537213358,-1.420542767,1.715629438,TG,Hispaniola
loysiana,3.701240244,0.315369514,-1.080381455,2.744207388,-0.526576873,2.153959487,-1.198967281,1.514224556,T,Cuba
lucius,4.198914766,-4.381398032,1.259811232,2.189960413,1.75435972,0.126135253,0.545903248,-0.585057824,U,Cuba
luteogularis,5.101085197,0.396142541,0.735844354,1.005854587,1.980435766,0.194610912,0.713343825,-0.562221096,CG,Cuba
macilentus,3.715764783,3.151773912,3.26626613,-3.72382928,1.218102182,0.868463721,-0.28788242,0.699463035,GB,Cuba
marcanoi,4.079484699,-2.844482428,-2.786441483,-0.802030267,-1.048428227,1.182343323,-0.167193617,0.582790036,TG,Hispaniola
marron,3.831810283,-2.847093412,-0.12032028,1.689810141,-1.570637764,-2.149486418,2.413050748,-2.143782289,T,Hispaniola
mestrei,3.987147344,-2.602619065,1.27568612,0.464037935,-1.196663985,-0.228920131,0.820920959,-0.739295641,TG,Cuba
monticola,3.770613039,-3.251180164,0.155993443,-2.239008161,0.131568273,0.628989307,0.146877669,-0.440977523,U,Hispaniola
noblei,5.083472618,-0.093379941,-0.960888514,0.890549172,2.094568799,-0.97440659,1.602507741,-0.422288291,CG,Cuba
occultus,3.663048694,7.920784437,-0.190139683,2.492281866,-0.095779769,-1.19168698,1.215301402,0.0324486,TW,Puerto Rico
olssoni,3.79389884,0.816826677,3.874428128,-2.433731025,0.62906887,-1.391771586,1.21022186,-0.291868939,GB,Hispaniola
opalinus,3.838376465,-1.779437098,-0.324538122,1.556993878,0.936650134,1.483021624,-0.908266532,0.726134826,TC,Jamaica
ophiolepis,3.637962029,0.791511737,1.458576031,-1.315200493,-2.237751371,0.354418772,0.053661422,-0.093895299,GB,Cuba
oporinus,3.845669505,3.058882893,-2.915653425,2.287598931,-0.086599032,0.573048475,-0.985921965,0.880252863,TC,Cuba
paternus,3.802961204,2.90637723,-0.958460932,0.949111531,1.801466603,-0.299550789,0.846263466,-0.963110645,TW,Cuba
placidus,3.773967107,7.38332866,0.539589726,2.704298084,-0.317788777,0.078986096,0.504242392,-0.404363249,TW,Hispaniola
poncensis,3.820377531,0.527826638,1.240620347,-1.624976102,-0.949247272,-0.289982852,0.510241609,-0.185439139,GB,Puerto Rico
porcatus,4.258990989,1.931932513,-3.829533048,0.978119428,2.885384794,-0.07464666,0.148259194,-0.571784264,TC,Cuba
porcus,5.038034268,3.506145365,-2.986679642,0.750064697,-1.199092288,0.158971414,-0.350187677,0.459870648,U,Cuba
pulchellus,3.799022266,0.162381506,-2.338461029,-1.590671471,0.681808877,0.978157532,-0.810754596,1.392775293,GB,Puerto Rico
pumilis,3.46686027,0.554049458,-0.425841519,2.15725632,-1.122089541,0.459254083,-0.162682657,-0.476948194,U,Cuba
quadriocellifer,3.901619072,-2.267894,0.99092075,0.355340511,-2.105059223,-0.257638879,0.462708058,-0.271279441,TG,Cuba
reconditus,4.482606994,-2.727041558,-0.210406574,-2.353424153,-0.799290533,0.260965443,-0.271697917,0.013671426,U,Jamaica
ricordii,5.013963084,0.589404703,1.346704636,-0.862695621,0.035168024,-0.456651495,0.663302028,-0.646258371,CG,Hispaniola
rubribarbus,4.078469213,-2.238348587,1.119977851,-1.192957233,-2.087432821,-0.427757376,0.48004445,-0.967426338,TG,Cuba
sagrei,4.067161768,-1.741055466,2.022824313,0.169363482,-1.375769406,-0.630433775,0.719312962,-1.222827638,TG,Cuba
semilineatus,3.696630586,0.184032361,-0.138720215,-2.895722738,0.922805091,-0.612226281,0.807322377,-0.829431606,GB,Hispaniola
sheplani,3.682924257,10.27389091,2.277844094,1.698174153,-0.259624317,-0.431283305,0.321955192,-0.805532876,TW,Hispaniola
shrevei,3.983003234,-2.259526066,-3.557882352,-1.388434801,-2.190824872,0.257277082,0.029600473,0.394228848,TG,Hispaniola
singularis,4.057997494,0.363267887,-0.954228711,1.656215433,1.007569263,1.592083294,-1.70105266,1.45313446,TC,Hispaniola
smallwoodi,5.035095592,-0.137705273,-1.151404053,0.429643186,2.440674972,-0.018317012,-0.36653114,1.591634408,CG,Cuba
strahmi,4.274271278,-3.873403028,-1.016358362,-0.936669577,-1.578433904,0.340077411,-0.690011247,2.111357201,TG,Hispaniola
stratulus,3.869880695,-1.622641647,-0.529574903,2.21669521,0.946222313,-0.314853533,0.515229477,-0.408287159,TC,Puerto Rico
valencienni,4.321524401,2.942413885,-0.884600717,1.854330826,0.128823267,-0.088370075,0.465286788,-0.567548962,TW,Jamaica
vanidicus,3.62620586,4.044367599,1.087163196,-2.492119203,0.18942396,-1.287008036,1.02303768,-0.675917459,GB,Cuba
vermiculatus,4.802849398,0.227834668,1.41411087,-1.84674415,0.711734218,0.159291276,-0.024230945,-0.315755014,U,Cuba
websteri,3.916546094,-2.50870054,0.974827858,2.902443757,-1.532598793,0.025584758,0.12404445,0.117586419,T,Hispaniola
whitemani,4.097478535,-2.545849012,-3.259740239,-1.920070062,-2.419939281,-1.457775289,1.096071557,-0.873933332,TG,Hispaniola
